days,T,bt15_5,bt18_5
0,0,15.5,18.5
0,8.75,15.5,18.5
0.041666667,8.8,15.5,18.5
0.083333333,8.85,15.5,18.5
0.125,9.033333333,15.5,18.5
0.166666667,9.35,15.5,18.5
0.208333333,9.95,15.5,18.5
0.25,10.41666667,15.5,18.5
0.291666667,10.56666667,15.5,18.5
0.333333333,10.75,15.5,18.5
0.375,10.62857143,15.5,18.5
0.416666667,10.14,15.5,18.5
0.458333333,9.471428571,15.5,18.5
0.5,8.75,15.5,18.5
0.541666667,8.166666667,15.5,18.5
0.583333333,7.916666667,15.5,18.5
0.625,7.766666667,15.5,18.5
0.666666667,7.633333333,15.5,18.5
0.708333333,7.433333333,15.5,18.5
0.75,7.15,15.5,18.5
0.791666667,6.883333333,15.5,18.5
0.833333333,7.05,15.5,18.5
0.875,7.55,15.5,18.5
0.916666667,7.516666667,15.5,18.5
0.958333333,6.8,15.5,18.5
1,6.783333333,15.5,18.5
1.041666667,7.06,15.5,18.5
1.083333333,8,15.5,18.5
1.125,8.371428571,15.5,18.5
1.166666667,8.8,15.5,18.5
1.208333333,9.833333333,15.5,18.5
1.25,10.4,15.5,18.5
1.291666667,10.92,15.5,18.5
1.333333333,12,15.5,18.5
1.375,13.25714286,15.5,18.5
1.416666667,11.6,15.5,18.5
1.458333333,10.33333333,15.5,18.5
1.5,9.814285714,15.5,18.5
1.541666667,9.4,15.5,18.5
1.583333333,9.316666667,15.5,18.5
1.625,8.9,15.5,18.5
1.666666667,9.02,15.5,18.5
1.708333333,9.028571429,15.5,18.5
1.75,8.883333333,15.5,18.5
1.791666667,8.5,15.5,18.5
1.833333333,8.257142857,15.5,18.5
1.875,6.65,15.5,18.5
1.916666667,5.46,15.5,18.5
1.958333333,5.114285714,15.5,18.5
2,5,15.5,18.5
2.041666667,5.5,15.5,18.5
2.083333333,5.266666667,15.5,18.5
2.125,8.983333333,15.5,18.5
2.166666667,9.266666667,15.5,18.5
2.208333333,9.95,15.5,18.5
2.25,10.03333333,15.5,18.5
2.291666667,10.46666667,15.5,18.5
2.333333333,10.9,15.5,18.5
2.375,11.1,15.5,18.5
2.416666667,10.55,15.5,18.5
2.458333333,10.11666667,15.5,18.5
2.5,9.666666667,15.5,18.5
2.541666667,9.333333333,15.5,18.5
2.583333333,9.266666667,15.5,18.5
2.625,9.083333333,15.5,18.5
2.666666667,8.966666667,15.5,18.5
2.708333333,8.916666667,15.5,18.5
2.75,8.816666667,15.5,18.5
2.791666667,8.6,15.5,18.5
2.833333333,8.333333333,15.5,18.5
