h-20,T-20,h0,T0,h12,T12,h20,T20,h40,T40,h50,T50,h60,T60,h80,T80,h100,T100
240.76,50,256.54,50,266.3,50,272.93,50,289.97,50,298.73,50,307.66,50,326,50,344.99,50
240.76,60,256.3,70,266.09,70,272.84,65,289.81,70,298.59,70,307.53,70,325.86,72.7,344.79,79.7
240.45,70,256.06,80,265.88,80,272.74,70,289.65,80,298.44,80,307.39,80,325.71,85.4,344.6,99.4
240.14,80,255.82,90,265.67,90,272.65,75,289.5,90,298.3,90,307.26,90,325.57,98.1,344.4,119.1
239.82,90,255.58,100,265.46,100,272.55,80,289.34,100,298.15,100,307.13,100,325.42,110.8,344.21,138.8
239.5,100,255.34,110,265.25,110,272.45,85,289.18,110,298.01,110,306.99,110,325.28,123.5,344.01,158.5
239.17,110,255.09,120,265.04,120,272.36,90,289.02,120,297.86,120,306.86,120,325.13,136.2,343.82,178.2
238.84,120,254.84,130,264.82,130,272.26,95,288.86,130,297.71,130,306.72,130,324.99,148.9,343.62,197.9
238.5,130,254.59,140,264.61,140,272.16,100,288.69,140,297.57,140,306.59,140,324.84,161.6,343.42,217.6
238.4,132.73,254.34,150,264.39,150,272.07,105,288.53,150,297.42,150,306.45,150,324.69,174.3,343.22,237.3
25.49,132.73,254.09,160,264.17,160,271.97,110,288.37,160,297.27,160,306.32,160,324.54,187,343.03,257
25.49,135,253.83,170,263.95,170,271.87,115,288.21,170,297.12,170,306.18,170,324.4,199.7,342.83,276.7
25.49,140,253.57,180,263.73,180,271.77,120,288.04,180,296.98,180,306.05,180,324.25,212.4,342.63,296.4
25.49,145,253.31,190,263.51,190,271.68,125,287.88,190,296.83,190,305.91,190,324.1,225.1,342.43,316.1
25.49,150,253.05,200,263.29,200,271.58,130,287.72,200,296.68,200,305.77,200,323.95,237.8,342.22,335.8
25.49,155,252.78,210,263.06,210,271.48,135,287.55,210,296.53,210,305.64,210,323.8,250.5,342.02,355.5
25.49,160,252.51,220,262.84,220,271.38,140,287.39,220,296.38,220,305.5,220,323.65,263.2,341.82,375.2
25.53,260,252.24,230,262.61,230,271.28,145,287.22,230,296.22,230,305.36,230,323.5,275.9,341.62,394.9
25.56,360,251.96,240,262.38,240,271.18,150,287.05,240,296.07,240,305.22,240,323.35,288.6,341.41,414.6
25.59,460,251.68,250,262.15,250,271.08,155,286.89,250,295.92,250,305.08,250,323.2,301.3,341.21,434.3
25.62,560,251.68,250,261.92,260,270.98,160,286.72,260,295.77,260,304.94,260,323.05,314,341.01,454
25.65,660,251.4,260,261.68,270,270.88,165,286.55,270,295.62,270,304.8,270,322.9,326.7,340.8,473.7
25.68,760,251.12,270,261.44,280,270.78,170,286.38,280,295.46,280,304.67,280,322.75,339.4,340.59,493.4
25.72,860,250.83,280,261.21,290,270.68,175,286.21,290,295.31,290,304.53,290,322.6,352.1,340.39,513.1
25.75,960,250.54,290,260.97,300,270.58,180,286.04,300,295.16,300,304.38,300,322.45,364.8,340.18,532.8
25.78,1060,250.45,292.8,260.72,310,270.48,185,285.87,310,295,310,304.24,310,322.29,377.5,339.97,552.5
25.81,1160,51.85,292.8,260.48,320,270.38,190,285.7,320,294.85,320,304.1,320,322.14,390.2,339.76,572.2
25.84,1260,51.85,300,260.23,330,270.28,195,285.52,330,294.69,330,303.96,330,321.99,402.9,339.55,591.9
25.88,1360,51.85,310,259.98,340,270.18,200,285.35,340,294.53,340,303.82,340,321.83,415.6,339.34,611.6
25.91,1460,51.86,320,259.73,350,270.08,205,285.18,350,294.38,350,303.68,350,321.68,428.3,339.13,631.3
25.94,1560,51.86,330,259.48,360,269.98,210,285,360,294.22,360,303.53,360,321.52,441,338.92,651
25.97,1660,51.86,340,259.22,370,269.87,215,284.83,370,294.06,370,303.39,370,321.37,453.7,338.71,670.7
26,1760,51.86,350,258.97,380,269.77,220,284.65,380,293.9,380,303.25,380,321.21,466.4,338.5,690.4
26.04,1860,51.86,350,258.71,390,269.67,225,284.48,390,293.74,390,303.1,390,321.06,479.1,338.28,710.1
26.07,1960,51.89,450,258.44,400,269.56,230,284.3,400,293.59,400,302.96,400,320.9,491.8,338.07,729.8
26.1,2060,51.91,550,258.18,410,269.46,235,284.12,410,293.43,410,302.81,410,320.74,504.5,337.85,749.5
26.13,2160,51.93,650,257.91,420,269.36,240,283.94,420,293.27,420,302.67,420,320.59,517.2,337.64,769.2
26.17,2260,51.96,750,257.64,430,269.25,245,283.76,430,293.1,430,302.52,430,320.43,529.9,337.42,788.9
26.2,2360,51.98,850,257.36,440,269.15,250,283.58,440,292.94,440,302.38,440,320.27,542.6,337.21,808.6
26.23,2460,52,950,257.28,443.01,269.04,255,283.4,450,292.78,450,302.23,450,320.11,555.3,336.99,828.3
26.26,2560,52.03,1050,68.18,443.01,268.94,260,283.22,460,292.62,460,302.08,460,319.95,568,336.77,848
26.3,2660,52.05,1150,68.18,450,268.83,265,283.03,470,292.45,470,301.94,470,319.79,580.7,336.55,867.7
26.33,2760,52.07,1250,68.19,550,268.73,270,282.85,480,292.29,480,301.79,480,319.63,593.4,336.33,887.4
26.36,2860,52.1,1350,68.21,650,268.62,275,282.67,490,292.13,490,301.64,490,319.47,606.1,336.11,907.1
26.39,2960,52.12,1450,68.23,750,268.52,280,282.48,500,291.96,500,301.49,500,319.31,618.8,335.89,926.8
26.43,3060,52.14,1550,68.24,850,268.41,285,282.3,510,291.8,510,301.34,510,319.15,631.5,335.66,946.5
26.46,3160,52.17,1650,68.26,950,268.3,290,282.11,520,291.63,520,301.19,520,318.99,644.2,335.44,966.2
26.49,3260,52.19,1750,68.27,1050,268.19,295,281.92,530,291.46,530,301.04,530,318.83,656.9,335.22,985.9
26.53,3360,52.22,1850,68.29,1150,268.09,300,281.73,540,291.3,540,300.89,540,318.66,669.6,334.99,1005.6
26.56,3460,52.24,1950,68.31,1250,267.98,305,281.54,550,291.13,550,300.74,550,318.5,682.3,334.77,1025.3
26.59,3560,52.27,2050,68.32,1350,267.87,310,281.35,560,290.96,560,300.59,560,318.34,695,334.54,1045
26.63,3660,52.29,2150,68.34,1450,267.76,315,281.16,570,290.79,570,300.44,570,318.17,707.7,334.31,1064.7
26.66,3760,52.31,2250,68.35,1550,267.65,320,280.97,580,290.62,580,300.29,580,318.01,720.4,334.08,1084.4
26.69,3860,52.34,2350,68.37,1650,267.54,325,280.77,590,290.45,590,300.13,590,317.84,733.1,333.85,1104.1
26.73,3960,52.36,2450,68.39,1750,267.43,330,280.58,600,290.28,600,299.98,600,317.68,745.8,333.62,1123.8
26.76,4060,52.39,2550,68.41,1850,267.32,335,280.38,610,290.1,610,299.83,610,317.51,758.5,333.39,1143.5
26.79,4160,52.41,2650,68.42,1950,267.21,340,280.19,620,289.93,620,299.67,620,317.35,771.2,333.16,1163.2
26.83,4260,52.44,2750,68.44,2050,267.1,345,279.99,630,289.76,630,299.52,630,317.18,783.9,332.93,1182.9
26.86,4360,52.47,2850,68.46,2150,266.99,350,279.79,640,289.58,640,299.36,640,317.01,796.6,332.69,1202.6
26.89,4460,52.49,2950,68.48,2250,266.88,355,279.59,650,289.41,650,299.21,650,316.84,809.3,332.46,1222.3
26.93,4560,52.52,3050,68.49,2350,266.77,360,279.39,660,289.23,660,299.05,660,316.67,822,332.22,1242
26.96,4660,52.54,3150,68.51,2450,266.66,365,279.19,670,289.06,670,298.89,670,316.5,834.7,331.99,1261.7
26.99,4760,52.57,3250,68.53,2550,266.54,370,278.98,680,288.88,680,298.74,680,316.33,847.4,331.75,1281.4
27.03,4860,52.59,3350,68.55,2650,266.43,375,278.78,690,288.7,690,298.58,690,316.16,860.1,331.51,1301.1
27.06,4960,52.62,3450,68.57,2750,266.32,380,278.57,700,288.52,700,298.42,700,315.99,872.8,331.27,1320.8
27.1,5060,52.64,3550,68.59,2850,266.2,385,278.36,710,288.34,710,298.26,710,315.82,885.5,331.03,1340.5
27.13,5160,52.67,3650,68.6,2950,266.09,390,278.16,720,288.16,720,298.1,720,315.65,898.2,330.79,1360.2
27.16,5260,52.7,3750,68.62,3050,265.97,395,277.95,730,287.98,730,297.94,730,315.48,910.9,330.55,1379.9
27.2,5360,52.72,3850,68.64,3150,265.86,400,277.74,740,287.8,740,297.78,740,315.3,923.6,330.3,1399.6
27.23,5460,52.75,3950,68.66,3250,265.74,405,277.52,750,287.62,750,297.62,750,315.13,936.3,330.06,1419.3
27.27,5560,52.78,4050,68.68,3350,265.63,410,277.31,760,287.43,760,297.46,760,314.96,949,329.81,1439
27.3,5660,52.8,4150,68.7,3450,265.51,415,277.1,770,287.25,770,297.29,770,314.78,961.7,329.56,1458.7
27.33,5760,52.83,4250,68.72,3550,265.39,420,276.88,780,287.06,780,297.13,780,314.61,974.4,329.32,1478.4
27.37,5860,52.85,4350,68.74,3650,265.28,425,276.66,790,286.88,790,296.97,790,314.43,987.1,329.07,1498.1
27.4,5960,52.88,4450,68.76,3750,265.16,430,276.44,800,286.69,800,296.8,800,314.25,999.8,328.82,1517.8
27.44,6060,52.91,4550,68.78,3850,265.04,435,276.22,810,286.5,810,296.64,810,314.08,1012.5,328.57,1537.5
27.47,6160,52.93,4650,68.8,3950,264.92,440,276,820,286.31,820,296.47,820,313.9,1025.2,328.31,1557.2
