P,T,hf,hfg9010,hfg8020,hfg7030,hfg6040,hfg5050,hfg4060,hfg3070,hfg2080,hfg1090,hg,sf,sfg9010,sfg8020,sfg7030,sfg6040,sfg5050,sfg4060,sfg3070,sfg2080,sfg1090,sg
100,-26.361,17.29,39.006,60.722,82.438,104.154,125.87,147.586,169.302,191.018,212.734,234.45,0.07194,0.159934,0.247928,0.335922,0.423916,0.51191,0.599904,0.687898,0.775892,0.863886,0.95188
110,-24.263,19.99,41.567,63.144,84.721,106.298,127.875,149.452,171.029,192.606,214.183,235.76,0.08278,0.16948,0.25618,0.34288,0.42958,0.51628,0.60298,0.68968,0.77638,0.86308,0.94978
120,-22.31,22.5,43.947,65.394,86.841,108.288,129.735,151.182,172.629,194.076,215.523,236.97,0.09282,0.178326,0.263832,0.349338,0.434844,0.52035,0.605856,0.691362,0.776868,0.862374,0.94788
130,-20.481,24.86,46.185,67.51,88.835,110.16,131.485,152.81,174.135,195.46,216.785,238.11,0.10217,0.186571,0.270972,0.355373,0.439774,0.524175,0.608576,0.692977,0.777378,0.861779,0.94618
140,-18.76,27.09,48.298,69.506,90.714,111.922,133.13,154.338,175.546,196.754,217.962,239.17,0.11094,0.194304,0.277668,0.361032,0.444396,0.52776,0.611124,0.694488,0.777852,0.861216,0.94458
150,-17.132,29.21,50.306,71.402,92.498,113.594,134.69,155.786,176.882,197.978,219.074,240.17,0.1192,0.201598,0.283996,0.366394,0.448792,0.53119,0.613588,0.695986,0.778384,0.860782,0.94318
160,-15.588,31.22,52.21,73.2,94.19,115.18,136.17,157.16,178.15,199.14,220.13,241.12,0.127,0.208498,0.289996,0.371494,0.452992,0.53449,0.615988,0.697486,0.778984,0.860482,0.94198
170,-14.117,33.14,54.028,74.916,95.804,116.692,137.58,158.468,179.356,200.244,221.132,242.02,0.13441,0.215047,0.295684,0.376321,0.456958,0.537595,0.618232,0.698869,0.779506,0.860143,0.94078
180,-12.712,34.98,55.769,76.558,97.347,118.136,138.925,159.714,180.503,201.292,222.081,242.87,0.14147,0.221291,0.301112,0.380933,0.460754,0.540575,0.620396,0.700217,0.780038,0.859859,0.93968
190,-11.367,36.75,57.444,78.138,98.832,119.526,140.22,160.914,181.608,202.302,222.996,243.69,0.1482,0.227248,0.306296,0.385344,0.464392,0.54344,0.622488,0.701536,0.780584,0.859632,0.93868
