s,T
-0.78251,-57.53
-0.33997,-6.99
-0.22054,7.79
-0.14373,17.5
-0.085812,24.92
-0.038766,31.01
0.0011379,36.21
0.035963,40.78
0.066976,44.87
0.09501,48.58
0.12065,51.98
0.14432,55.14
0.16633,58.08
0.18693,60.84
0.20631,63.44
0.22463,65.9
0.24202,68.25
0.25857,70.48
0.27437,72.62
0.28951,74.67
0.30403,76.64
0.318,78.53
0.33147,80.36
0.34447,82.13
0.35704,83.84
0.36921,85.5
0.38101,87.11
0.39247,88.67
0.40361,90.19
0.41445,91.67
0.42501,93.11
0.4353,94.52
0.44534,95.89
0.45515,97.23
0.46474,98.55
0.47411,99.83
0.48328,101.09
0.49227,102.32
0.50107,103.52
0.5097,104.7
0.51817,105.86
0.52647,107
0.53463,108.12
0.54265,109.22
0.55053,110.3
0.55827,111.36
0.56589,112.41
0.57338,113.43
0.58076,114.44
0.58803,115.44
0.59519,116.42
0.60224,117.39
0.60919,118.34
0.61605,119.28
0.62281,120.2
0.62948,121.12
0.63606,122.02
0.64256,122.91
0.64897,123.79
0.6553,124.65
0.66156,125.51
0.66774,126.35
0.67385,127.19
0.67989,128.01
0.68586,128.83
0.69176,129.63
0.6976,130.43
0.70337,131.22
0.70909,131.99
0.71474,132.77
0.72034,133.53
0.72588,134.28
0.73136,135.03
0.7368,135.77
0.74217,136.5
0.7475,137.22
0.75278,137.94
0.75801,138.65
0.76319,139.35
0.76833,140.04
0.77342,140.73
0.77847,141.42
0.78347,142.09
0.78844,142.76
0.79336,143.43
0.79824,144.09
0.80308,144.74
0.80789,145.39
0.81265,146.03
0.81738,146.66
0.82208,147.29
0.82674,147.92
0.83136,148.54
0.83595,149.15
0.84051,149.76
0.84504,150.37
0.84953,150.97
0.85399,151.57
0.85843,152.16
0.86283,152.74
0.86721,153.33
0.87155,153.9
0.87587,154.48
0.88016,155.05
0.88443,155.61
0.88867,156.17
0.89288,156.73
0.89707,157.28
0.90123,157.83
0.90537,158.38
0.90948,158.92
0.91358,159.45
0.91764,159.99
0.92169,160.52
0.92572,161.04
0.92972,161.57
0.9337,162.09
0.93767,162.6
0.94161,163.12
0.94553,163.63
0.94944,164.13
0.95332,164.63
0.95719,165.13
0.96104,165.63
0.96487,166.12
0.96868,166.61
0.97248,167.1
0.97626,167.58
0.98002,168.07
0.98377,168.54
0.9875,169.02
0.99122,169.49
0.99493,169.96
0.99862,170.43
1.0023,170.89
1.006,171.35
1.0096,171.81
1.0132,172.27
1.0169,172.72
1.0205,173.17
1.0241,173.62
1.0277,174.07
1.0312,174.51
1.0348,174.95
1.0384,175.39
1.0419,175.82
1.0455,176.26
1.049,176.69
1.0525,177.11
1.056,177.54
1.0595,177.96
1.063,178.39
1.0665,178.8
1.07,179.22
1.0735,179.64
1.077,180.05
1.0804,180.46
1.0839,180.87
1.0874,181.27
1.0908,181.68
1.0943,182.08
