s,T
0,0
0.057,3.76
0.106,6.97
0.146,9.65
0.18,11.97
0.21,14.01
0.237,15.84
0.261,17.5
0.282,19.01
0.302,20.41
0.321,21.72
0.338,22.94
0.354,24.08
0.391,26.67
0.422,28.96
0.451,31.01
0.476,32.88
0.521,36.16
0.559,39
0.593,41.51
0.622,43.76
0.649,45.81
0.755,53.97
0.832,60.06
0.893,64.96
0.944,69.1
0.988,72.68
1.026,75.86
1.06,78.71
1.091,81.32
1.145,85.93
1.192,89.93
1.233,93.49
1.269,96.69
1.303,99.61
1.303,99.61
1.333,102.29
1.361,104.78
1.387,107.11
1.411,109.29
1.434,111.35
1.455,113.3
1.475,115.15
1.494,116.91
1.513,118.6
1.53,120.21
1.563,123.25
1.593,126.07
1.621,128.71
1.647,131.19
1.672,133.53
1.695,135.74
1.717,137.85
1.738,139.85
1.758,141.77
1.777,143.61
1.795,145.38
1.812,147.08
1.829,148.72
1.845,150.3
1.861,151.84
1.897,155.46
1.931,158.83
1.963,161.99
1.992,164.95
2.02,167.76
2.046,170.41
2.071,172.94
2.094,175.36
2.117,177.67
2.138,179.89
2.159,182.02
2.179,184.07
2.198,186.05
2.216,187.96
2.234,189.82
2.251,191.61
2.284,195.05
2.315,198.3
2.344,201.38
2.371,204.31
2.398,207.12
2.423,209.81
2.447,212.38
2.47,214.87
2.492,217.26
2.514,219.56
2.534,221.8
2.554,223.96
2.574,226.05
2.593,228.09
2.611,230.06
2.628,231.99
2.646,233.86
2.646,233.86
2.679,237.46
2.71,240.9
2.74,244.19
2.769,247.33
2.797,250.36
2.823,253.27
2.849,256.07
2.874,258.78
2.898,261.4
2.921,263.94
2.943,266.41
2.965,268.8
2.986,271.12
3.007,273.38
3.027,275.59
3.047,277.73
3.067,279.83
3.085,281.88
3.104,283.88
3.122,285.83
3.14,287.74
3.157,289.62
3.174,291.45
3.191,293.25
3.208,295.01
3.224,296.74
3.24,298.44
3.256,300.1
3.271,301.74
3.287,303.35
3.302,304.93
3.317,306.48
3.331,308.01
3.346,309.52
3.36,311
3.396,314.61
3.43,318.08
3.464,321.44
3.496,324.68
3.529,327.82
3.561,330.86
3.592,333.81
3.623,336.67
3.654,339.45
3.684,342.16
3.715,344.79
3.746,347.36
3.776,349.86
3.808,352.29
3.84,354.67
3.872,356.99
3.905,359.26
3.94,361.47
3.976,363.63
4.015,365.75
4.058,367.81
4.108,369.83
4.171,371.8
4.297,373.71
4.547,373.71
4.719,371.8
4.807,369.83
4.874,367.81
4.931,365.75
4.98,363.63
5.025,361.47
5.067,359.26
5.106,356.99
5.143,354.67
5.179,352.29
5.213,349.86
5.246,347.36
5.279,344.79
5.311,342.16
5.342,339.45
5.373,336.67
5.404,333.81
5.434,330.86
5.464,327.82
5.494,324.68
5.524,321.44
5.555,318.08
5.585,314.61
5.616,311
5.628,309.52
5.641,308.01
5.653,306.48
5.666,304.93
5.679,303.35
5.692,301.74
5.705,300.1
5.718,298.44
5.731,296.74
5.745,295.01
5.758,293.25
5.772,291.45
5.786,289.62
5.8,287.74
5.815,285.83
5.829,283.88
5.844,281.88
5.859,279.83
5.874,277.73
5.89,275.59
5.906,273.38
5.922,271.12
5.939,268.8
5.956,266.41
5.974,263.94
5.992,261.4
6.01,258.78
6.029,256.07
6.049,253.27
6.07,250.36
6.091,247.33
6.113,244.19
6.136,240.9
6.16,237.46
6.186,233.86
6.186,233.86
6.199,231.99
6.213,230.06
6.227,228.09
6.241,226.05
6.256,223.96
6.271,221.8
6.287,219.56
6.304,217.26
6.321,214.87
6.339,212.38
6.358,209.81
6.378,207.12
6.398,204.31
6.42,201.38
6.443,198.3
6.468,195.05
6.494,191.61
6.507,189.82
6.522,187.96
6.537,186.05
6.552,184.07
6.568,182.02
6.585,179.89
6.603,177.67
6.621,175.36
6.641,172.94
6.662,170.41
6.684,167.76
6.707,164.95
6.732,161.99
6.759,158.83
6.789,155.46
6.821,151.84
6.834,150.3
6.849,148.72
6.863,147.08
6.879,145.38
6.895,143.61
6.913,141.77
6.931,139.85
6.95,137.85
6.97,135.74
6.992,133.53
7.015,131.19
7.039,128.71
7.066,126.07
7.095,123.25
7.127,120.21
7.144,118.6
7.162,116.91
7.181,115.15
7.201,113.3
7.223,111.35
7.246,109.29
7.271,107.11
7.298,104.78
7.327,102.29
7.359,99.61
7.359,99.61
7.394,96.69
7.434,93.49
7.479,89.93
7.531,85.93
7.593,81.32
7.629,78.71
7.669,75.86
7.715,72.68
7.767,69.1
7.83,64.96
7.907,60.06
8.007,53.97
8.149,45.81
8.186,43.76
8.227,41.51
8.275,39
8.329,36.16
8.394,32.88
8.431,31.01
8.473,28.96
8.521,26.67
8.577,24.08
8.601,22.94
8.628,21.72
8.657,20.41
8.688,19.01
8.723,17.5
8.761,15.84
8.804,14.01
8.852,11.97
8.908,9.65
8.975,6.97
9.057,3.76
9.156,0
