P,T,hf,hfg9010,hfg8020,hfg7030,hfg6040,hfg5050,hfg4060,hfg3070,hfg2080,hfg1090,hg,sf,sfg9010,sfg8020,sfg7030,sfg6040,sfg5050,sfg4060,sfg3070,sfg2080,sfg1090,sg
0.6,0,-0.1,250,500.1,750.2,1000.3,1250.4,1500.5,1750.6,2000.7,2250.8,2500.9,0,0.9156,1.8312,2.7468,3.6624,4.578,5.4936,6.4092,7.3248,8.2404,9.156
0.8,3.76,15.8,265,514.2,763.4,1012.6,1261.8,1511,1760.2,2009.4,2258.6,2507.8,0.057,0.957,1.857,2.757,3.657,4.557,5.457,6.357,7.257,8.157,9.057
1,6.97,29.3,277.74,526.18,774.62,1023.06,1271.5,1519.94,1768.38,2016.82,2265.26,2513.7,0.106,0.9929,1.8798,2.7667,3.6536,4.5405,5.4274,6.3143,7.2012,8.0881,8.975
1.2,9.65,40.6,288.4,536.2,784,1031.8,1279.6,1527.4,1775.2,2023,2270.8,2518.6,0.146,1.0222,1.8984,2.7746,3.6508,4.527,5.4032,6.2794,7.1556,8.0318,8.908
1.4,11.97,50.3,297.55,544.8,792.05,1039.3,1286.55,1533.8,1781.05,2028.3,2275.55,2522.8,0.18,1.0472,1.9144,2.7816,3.6488,4.516,5.3832,6.2504,7.1176,7.9848,8.852
1.6,14.01,58.8,305.58,552.36,799.14,1045.92,1292.7,1539.48,1786.26,2033.04,2279.82,2526.6,0.21,1.0694,1.9288,2.7882,3.6476,4.507,5.3664,6.2258,7.0852,7.9446,8.804
1.8,15.84,66.5,312.84,559.18,805.52,1051.86,1298.2,1544.54,1790.88,2037.22,2283.56,2529.9,0.237,1.0894,1.9418,2.7942,3.6466,4.499,5.3514,6.2038,7.0562,7.9086,8.761
2,17.5,73.4,319.35,565.3,811.25,1057.2,1303.15,1549.1,1795.05,2041,2286.95,2532.9,0.261,1.1072,1.9534,2.7996,3.6458,4.492,5.3382,6.1844,7.0306,7.8768,8.723
2.2,19.01,79.8,325.39,570.98,816.57,1062.16,1307.75,1553.34,1798.93,2044.52,2290.11,2535.7,0.282,1.1226,1.9632,2.8038,3.6444,4.485,5.3256,6.1662,7.0068,7.8474,8.688
2.4,20.41,85.7,330.95,576.2,821.45,1066.7,1311.95,1557.2,1802.45,2047.7,2292.95,2538.2,0.302,1.1375,1.973,2.8085,3.644,4.4795,5.315,6.1505,6.986,7.8215,8.657
2.6,21.72,91.1,336.05,581,825.95,1070.9,1315.85,1560.8,1805.75,2050.7,2295.65,2540.6,0.321,1.1517,1.9824,2.8131,3.6438,4.4745,5.3052,6.1359,6.9666,7.7973,8.628
2.8,22.94,96.2,340.86,585.52,830.18,1074.84,1319.5,1564.16,1808.82,2053.48,2298.14,2542.8,0.338,1.1643,1.9906,2.8169,3.6432,4.4695,5.2958,6.1221,6.9484,7.7747,8.601
3,24.08,101,345.39,589.78,834.17,1078.56,1322.95,1567.34,1811.73,2056.12,2300.51,2544.9,0.354,1.1763,1.9986,2.8209,3.6432,4.4655,5.2878,6.1101,6.9324,7.7547,8.577
3.5,26.67,111.8,355.58,599.36,843.14,1086.92,1330.7,1574.48,1818.26,2062.04,2305.82,2549.6,0.391,1.204,2.017,2.83,3.643,4.456,5.269,6.082,6.895,7.708,8.521
4,28.96,121.4,364.63,607.86,851.09,1094.32,1337.55,1580.78,1824.01,2067.24,2310.47,2553.7,0.422,1.2271,2.0322,2.8373,3.6424,4.4475,5.2526,6.0577,6.8628,7.6679,8.473
4.5,31.01,130,372.74,615.48,858.22,1100.96,1343.7,1586.44,1829.18,2071.92,2314.66,2557.4,0.451,1.249,2.047,2.845,3.643,4.441,5.239,6.037,6.835,7.633,8.431
5,32.88,137.8,380.1,622.4,864.7,1107,1349.3,1591.6,1833.9,2076.2,2318.5,2560.8,0.476,1.2678,2.0596,2.8514,3.6432,4.435,5.2268,6.0186,6.8104,7.6022,8.394
6,36.16,151.5,393.02,634.54,876.06,1117.58,1359.1,1600.62,1842.14,2083.66,2325.18,2566.7,0.521,1.3018,2.0826,2.8634,3.6442,4.425,5.2058,5.9866,6.7674,7.5482,8.329
7,39,163.4,404.24,645.08,885.92,1126.76,1367.6,1608.44,1849.28,2090.12,2330.96,2571.8,0.559,1.3306,2.1022,2.8738,3.6454,4.417,5.1886,5.9602,6.7318,7.5034,8.275
8,41.51,173.9,414.13,654.36,894.59,1134.82,1375.05,1615.28,1855.51,2095.74,2335.97,2576.2,0.593,1.3564,2.1198,2.8832,3.6466,4.41,5.1734,5.9368,6.7002,7.4636,8.227
9,43.76,183.3,423,662.7,902.4,1142.1,1381.8,1621.5,1861.2,2100.9,2340.6,2580.3,0.622,1.3784,2.1348,2.8912,3.6476,4.404,5.1604,5.9168,6.6732,7.4296,8.186
