theta,Risp,Rnsp,Rmean,polarization,T
0,0.04,0.04,0.04,0,0.96
1,0.039983753,0.04001625,0.040000002,0.040620466,0.959999998
2,0.039935008,0.04006504,0.040000024,0.162539529,0.959999976
3,0.03985375,0.040146495,0.040000123,0.365929743,0.959999877
4,0.039739955,0.040260822,0.040000389,0.651077225,0.959999611
5,0.039593589,0.040408312,0.040000951,1.018379405,0.959999049
6,0.039414611,0.040589342,0.040001977,1.468341803,0.959998023
7,0.03920297,0.040804376,0.040003673,2.001573741,0.959996327
8,0.038958611,0.041053966,0.040006289,2.618782904,0.959993711
9,0.038681471,0.041338757,0.040010114,3.320768614,0.959989886
10,0.038371483,0.041659487,0.040015485,4.108413663,0.959984515
11,0.03802858,0.04201699,0.040022785,4.982674537,0.959977215
12,0.037652691,0.042412205,0.040032448,5.944569818,0.959967552
13,0.037243749,0.042846172,0.04004496,6.995166541,0.95995504
14,0.036801688,0.043320043,0.040060865,8.135564242,0.959939135
15,0.036326451,0.043835083,0.040080767,9.366876419,0.959919233
16,0.035817991,0.04439268,0.040105335,10.6902091,0.959894665
17,0.035276274,0.044994345,0.04013531,12.10663617,0.95986469
18,0.034701282,0.045641727,0.040171504,13.61717114,0.959828496
19,0.034093021,0.046336611,0.040214816,15.22273497,0.959785184
20,0.033451524,0.047080933,0.040266229,16.92411959,0.959733771
21,0.032776856,0.047876789,0.040326823,18.72194672,0.959673177
22,0.032069123,0.048726438,0.040397781,20.61662177,0.959602219
23,0.031328476,0.049632322,0.040480399,22.60828229,0.959519601
24,0.030555122,0.050597068,0.040576095,24.69674101,0.959423905
25,0.029749331,0.051623507,0.040686419,26.88142305,0.959313581
26,0.028911447,0.052714686,0.040813067,29.16129739,0.959186933
27,0.028041901,0.053873881,0.040957891,31.53480274,0.959042109
28,0.02714122,0.055104612,0.041122916,33.99976804,0.958877084
29,0.026210046,0.056410665,0.041310356,36.55332818,0.958689644
30,0.025249147,0.057796105,0.041522626,39.19183588,0.958477374
31,0.024259438,0.059265299,0.041762369,41.91077085,0.958237631
32,0.023242002,0.060822937,0.042032469,44.7046479,0.957967531
33,0.022198109,0.062474054,0.042336082,47.56692613,0.957663918
34,0.021129243,0.064224059,0.042676651,50.4899218,0.957323349
35,0.020037132,0.066078758,0.043057945,53.46472789,0.956942055
36,0.018923774,0.068044386,0.04348408,56.48114415,0.95651592
37,0.017791479,0.070127638,0.043959558,59.52762171,0.956040442
38,0.016642903,0.072335704,0.044489304,62.5912267,0.955510696
39,0.015481095,0.074676307,0.045078701,65.657628,0.954921299
40,0.014309548,0.077157739,0.045733643,68.71111386,0.954266357
