TimeGMT,TimeLocal,Az21Dec,Sh21Dec,Az21Feb,Sh21Feb,Az21Mar,Sh21Mar,Az21Apr,Sh21Apr,Az21Jun,Sh21Jun
0,0,95.27183533,-59.92783356,69.50216675,-59.54457092,55.60419464,-51.95539474,45.42243958,-41.95324326,35.61956787,-33.32767868
0.5,,97.20996094,-53.12200546,75.64286804,-53.00980377,62.71409607,-46.07198334,52.19259644,-36.79628754,41.91905212,-29.03601456
1,1,99.12528992,-46.3449707,80.38404083,-46.31203842,68.41881561,-39.83620453,57.90515137,-31.18136024,47.4278717,-24.21885681
1.5,,101.070549,-39.60447693,84.29840851,-39.52680588,73.15896606,-33.36994171,62.78884125,-25.22947121,52.24331665,-18.98397636
2,2,103.0836868,-32.90939331,87.71170807,-32.69739532,77.23733521,-26.75039101,67.03556824,-19.02769661,56.46877289,-13.41803551
2.5,,105.1977615,-26.27015877,90.82568359,-25.85196495,80.86533356,-20.0286541,70.79971313,-12.63886166,60.20082092,-7.589211941
3,3,107.4456635,-19.69930267,93.7769928,-19.01149559,84.19645691,-13.24061298,74.20484924,-6.108922005,63.52411652,-1.550696373
3.5,,109.8630295,-13.21208477,96.66770172,-12.19386482,87.34889984,-6.413218021,77.35186005,0.527718604,66.51057434,4.656056404
4,4,112.4904861,-6.827379704,99.58258057,-5.416446209,90.42080688,0.431468606,80.32666779,7.244523048,69.22048187,10.99859715
4.5,,115.3757019,-0.568786383,102.6001434,1.301958442,93.50152588,7.273441792,83.20733643,14.0201149,71.7043457,17.45134354
5,5,118.5754318,5.53384304,105.800972,7.939218998,96.68120575,14.09247112,86.07125092,20.83623505,74.00484467,23.9939003
5.5,,122.1574707,11.44247246,109.2749939,14.46772003,100.0603485,20.8657093,89.003479,27.67590523,76.15895081,30.60985756
6,6,126.2021637,17.10833359,113.1291046,20.85144043,103.7614975,27.56473541,92.10852814,34.52155685,78.20001984,37.28582382
6.5,,130.8023834,22.46882248,117.4955292,27.04186821,107.9451752,34.1512146,95.52931213,41.35239792,80.16023254,44.01067352
7,7,136.0603943,27.44406128,122.5408325,32.97222137,112.833313,40.57000732,99.48165894,48.14006042,82.07448578,50.77507401
7.5,,142.0779724,31.93371964,128.4730225,38.5491333,118.7434845,46.73745346,104.323204,54.83998871,83.98744965,57.5709343
8,8,148.9360657,35.81589508,135.5395203,43.64199448,126.1338348,52.52131653,110.7030487,61.37207031,85.97106171,64.39099884
8.5,,156.6602783,38.95090866,143.9980774,48.07159805,135.636673,57.70783615,119.9051743,67.5714035,88.17844391,71.22827148
9,9,165.1765137,41.19387436,154.0301361,51.60570145,147.97966,61.95769882,134.5828247,73.05170441,91.08227539,78.07411194
9.5,,174.2755127,42.41799545,165.5750885,53.97828674,163.5349579,64.78824615,159.1289825,76.86459351,97.62432098,84.90351868
10,10,183.618988,42.54411316,178.1509857,54.95174408,181.3741455,65.69577789,192.4506531,77.385849,247.4667053,88.01333618
10.5,,192.8066101,41.56362534,190.8711395,54.4107399,199.0015259,64.47361755,220.0579224,74.28375244,266.8370056,81.27037811
11,11,201.4780731,39.54117966,202.783844,52.42079926,214.0882416,61.39432144,236.895874,69.1183548,270.6108398,74.42596436
11.5,,209.392334,36.59540939,213.274231,49.1939888,225.9612732,56.97544479,247.2102051,63.05706406,273.0412903,67.58335876
12,12,216.3430634,32.9379425,222.1747894,44.99662018,235.0987091,51.68067932,254.7823792,56.7016449,275.1010132,60.75434875
12.5,,222.5584564,28.58317566,229.9719086,40.3031311,242.7630005,45.99950409,259.8694763,50.02106094,277.0108032,53.99101257
13,13,227.9916077,23.71525192,236.2032928,34.8249588,248.456543,39.76160431,263.9552612,43.24274826,278.9194031,47.21058655
