TimeGMT,TimeLocal,Az21Dec,Sh21Dec,Az21Feb,Sh21Feb,Az21Mar,Sh21Mar,Az21Apr,Sh21Apr,Az21Jun,Sh21Jun
0,2,95.27183533,-59.92783356,69.50216675,-59.54457092,55.60419464,-51.95539474,45.42243958,-41.95324326,35.61956787,-33.32767868
0.166666667,,95.92484283,-57.65646744,71.75662231,-57.3913765,58.16472626,-50.04361343,47.81187439,-40.29433823,37.81233215,-31.96306229
0.333333333,,96.56981659,-55.38777161,73.79081726,-55.21140289,60.52698517,-48.0800972,50.06550598,-38.5733223,39.9112854,-30.53091049
0.5,,97.20996094,-53.12200546,75.64286804,-53.00980377,62.71409607,-46.07198334,52.19259644,-36.79628754,41.91905212,-29.03601456
0.666666667,,97.84784698,-50.85942841,77.34334564,-50.79063797,64.74662018,-44.02532196,54.20233917,-34.96873856,43.83869934,-27.48291016
0.833333333,,98.485672,-48.60032272,78.91699982,-48.55716705,66.64283752,-41.94526672,56.1036911,-33.09561539,45.67373657,-25.87586021
1,3,99.12528992,-46.3449707,80.38404083,-46.31203842,68.41881561,-39.83620453,57.90515137,-31.18136024,47.4278717,-24.21885681
1.166666667,,99.76832581,-44.09366608,81.7611084,-44.05743408,70.08874512,-37.70188141,59.61485291,-29.22994232,49.10491943,-22.51561737
1.333333333,,100.4162979,-41.84672928,83.06202698,-41.79517746,71.66512299,-35.54553223,61.24038696,-27.24491692,50.70877075,-20.76959419
1.5,,101.070549,-39.60447693,84.29840851,-39.52680588,73.15896606,-33.36994171,62.78884125,-25.22947121,52.24331665,-18.98397636
1.666666667,,101.7323761,-37.36725616,85.48007202,-37.25364304,74.58000183,-31.1775322,64.2668457,-23.18645668,53.71238708,-17.16173363
1.833333333,,102.4030228,-35.13543701,86.61542511,-34.97683334,75.93690491,-28.9703846,65.6805191,-21.11843491,55.11965942,-15.305583
2,4,103.0836868,-32.90939331,87.71170807,-32.69739532,77.23733521,-26.75039101,67.03556824,-19.02769661,56.46877289,-13.41803551
2.166666667,,103.7755661,-30.68954277,88.77523804,-30.41623688,78.48819733,-24.51914215,68.33724976,-16.91631317,57.76316071,-11.50141144
2.333333333,,104.4798584,-28.47631264,89.81157684,-28.13417435,79.69566345,-22.27813148,69.59044647,-14.78614044,59.00613403,-9.557807922
2.5,,105.1977615,-26.27015877,90.82568359,-25.85196495,80.86533356,-20.0286541,70.79971313,-12.63886166,60.20082092,-7.589211941
2.666666667,,105.9305038,-24.07159042,91.82197571,-23.57034683,82.00229645,-17.77186775,71.96928406,-10.47599411,61.35018921,-5.597418785
2.833333333,,106.6793671,-21.88111877,92.80450439,-21.28997231,83.11123657,-15.50885773,73.10308838,-8.298929214,62.45706177,-3.584066153
3,5,107.4456635,-19.69930267,93.7769928,-19.01149559,84.19645691,-13.24061298,74.20484924,-6.108922005,63.52411652,-1.550696373
3.166666667,,108.2307281,-17.5267601,94.74288177,-16.73557281,85.26199341,-10.96802139,75.27805328,-3.907121658,64.55381775,0.501287282
3.333333333,,109.0360184,-15.36412334,95.70542145,-14.46281624,86.31160736,-8.691953659,76.3259964,-1.694584012,65.54856873,2.570608139
