TimeGMT,TimeLocal,Az21Dec,Sh21Dec,Az21Feb,Sh21Feb,Az21Mar,Sh21Mar,Az21Apr,Sh21Apr,Az21Jun,Sh21Jun
0,2,83.89502716,-61.37223434,58.77758026,-58.27667618,48.00927734,-49.43516159,40.31303406,-38.59691238,32.10108948,-29.21072769
0.5,,88.359375,-54.89532471,66.83944702,-52.49715805,56.03780365,-44.31246185,47.51609802,-34.08992004,38.59898376,-25.45114708
1,3,92.08572388,-48.40379715,73.19326019,-46.39411163,62.72641754,-38.72254562,53.80665588,-29.06586647,44.45240784,-21.14421654
1.5,,95.41638947,-41.92603683,78.44882965,-40.0993576,68.42051697,-32.81008911,59.33863068,-23.64567375,49.71418762,-16.38737679
2,4,98.54193878,-35.48235703,82.99369049,-33.69238663,73.39336395,-26.67456627,64.26244354,-17.92293358,54.45519257,-11.26377583
2.5,,101.5827866,-29.0902977,87.08250427,-27.22504616,77.85420227,-20.38573647,68.71276855,-11.96920395,58.7514267,-5.842278004
3,5,104.6247253,-22.76727676,90.8918457,-20.734478,81.96469116,-13.9943285,72.80654144,-5.839478016,62.67687225,-0.178926885
3.5,,107.7363663,-16.53222275,94.55284119,-14.25020885,85.85405731,-7.539310455,76.64577484,0.423275888,66.30064392,5.680894375
4,6,110.9786987,-10.40684032,98.17079926,-7.798516273,89.63154602,-1.052757859,80.32231903,6.784446239,69.68668365,11.70044804
4.5,,114.4107895,-4.416904449,101.8381882,-1.405439138,93.39637756,5.436565399,83.92353821,13.2149086,72.89517212,17.84975433
5,7,118.0935135,1.406332374,105.6435394,4.900731087,97.246521,11.90022755,87.53895569,19.68852234,75.9850769,24.10400963
5.5,,122.0919342,7.024466515,109.6786728,11.08697891,101.2872162,18.30728149,91.26860046,26.17975044,79.01829529,30.44220161
6,8,126.4763794,12.39005089,114.0447464,17.11268997,105.6403885,24.62090492,95.23473358,32.66091537,82.06587982,36.84584045
6.5,,131.3217773,17.44450378,118.8577042,22.92616844,110.4560394,30.79397583,99.59983063,39.09838486,85.21877289,43.29767227
7,9,136.703949,22.11602402,124.2522125,28.46007919,115.9261322,36.76266861,104.5962296,45.44645309,88.60777283,49.77988815
7.5,,142.6914673,26.31831741,130.3817902,33.62592697,122.3002548,42.43701553,110.5772247,51.63639069,92.44536591,56.27119827
8,10,149.3312836,29.95111084,137.4101563,38.30806351,129.896286,47.68715286,118.1045456,57.55519867,97.12407684,62.74040985
8.5,,156.6276703,32.90420914,145.4845123,42.35935974,139.0852051,52.32564163,128.0812836,63.00349426,103.4855728,69.12914276
9,11,164.5183411,35.06681061,154.6805573,45.60329819,150.1995239,56.09260941,141.8406982,67.61685944,113.7058868,75.29225922
9.5,,172.8575745,36.34247971,164.9203033,47.85049057,163.296875,58.66616821,160.6337128,70.77016449,134.7345581,80.72332001
10,12,181.4207611,36.66711044,175.8986969,48.93529892,177.8252106,59.73658752,183.4133453,71.68448639,182.6397705,83.27165222
10.5,,189.9384155,36.02343369,187.0960236,48.76512909,192.5616608,59.14564133,205.3904572,70.04762268,227.9981537,80.29938507
11,13,198.1506348,34.44530487,197.9197083,47.35511017,206.1680603,56.98311615,222.6578369,66.38724518,247.4867249,74.7559967
11.5,,205.8565826,32.00944901,207.8988495,44.82209015,217.8768616,53.52999496,235.156189,61.47838974,257.1942139,68.56138611
12,14,212.8325806,28.87899208,216.7932739,41.34274292,227.6002655,49.11594009,244.8478088,56.03616333,263.3471069,62.16158676
12.5,,219.2644196,25.0551815,224.8782654,37.365448,236.0993958,44.24565887,251.7942963,50.00053024,267.8867493,55.73007202
13,15,225.0551758,20.69478226,231.6591339,32.51696777,242.7761688,38.65254593,257.3955078,43.74090195,271.6772156,49.23853683
13.5,,230.2605896,15.89391041,237.5785065,27.2214241,248.4618378,32.73796844,262.1412659,37.35209656,275.0411987,42.75804901
14,16,234.952774,10.73424625,242.8025208,21.58684158,253.4287415,26.60104179,266.3413696,30.89317703,278.1819153,36.30944443
14.5,,239.2079163,5.283224106,247.4822998,15.69535637,257.8855286,20.31126404,270.202301,24.40453529,281.2258301,29.910429
15,17,243.099762,-0.404287398,251.7487183,9.609454155,261.9933472,13.91926384,273.8711548,17.9170475,284.2617188,23.57830811
15.5,,246.6969299,-6.283915997,255.7141724,3.377264977,265.8811951,7.463912964,277.4612427,11.45711327,287.3595581,17.33171844
