TimeGMT,TimeLocal,Az21Dec,Sh21Dec,Az21Feb,Sh21Feb,Az21Mar,Sh21Mar,Az21Apr,Sh21Apr,Az21Jun,Sh21Jun
0,0,9.624221802,-62.7984314,13.46142578,-50.05726624,9.24432373,-39.61401367,5.448394775,-27.8730526,5.429901123,-16.28494835
0.5,,5.519546509,-62.97086716,1.947097778,-50.70139694,0.510238647,-39.97963715,2.862686157,-27.98135376,1.746078491,-16.43920326
1,1,20.25758362,-61.89719772,9.639953613,-50.37905884,10.25325012,-39.52927017,11.13021851,-27.39667892,8.903610229,-15.99382496
1.5,,33.68574524,-59.71606445,20.87802124,-49.11469269,19.76278687,-38.2859726,19.23440552,-26.1396904,15.9690094,-14.96033382
2,2,45.42068481,-56.65675735,31.44039917,-46.99742126,28.86231995,-36.30957413,27.07817078,-24.25244522,22.8788147,-13.3644762
2.5,,55.52021027,-52.95405197,41.15522766,-44.15547562,37.44328308,-33.6848793,34.59693909,-21.79261589,29.58551025,-11.24350357
3,3,64.24886322,-48.80339813,49.99513245,-40.72806549,45.46705627,-30.5080719,41.76091003,-18.82678795,36.0602417,-8.642711639
3.5,,71.90976715,-44.35312271,58.02924347,-36.84583664,52.95075226,-26.87568283,48.57124329,-15.4245224,42.29318237,-5.611888409
4,4,78.77230835,-39.71279907,65.37430573,-32.62199783,59.94835663,-22.87770462,55.0534668,-11.65395641,48.29150391,-2.202320814
4.5,,85.05504608,-34.96432877,72.16116333,-28.15098953,66.53412628,-18.59464455,61.25028992,-7.579259396,54.07680511,1.53545177
5,5,90.93019104,-30.17121315,78.516922,-23.51085091,72.79106903,-14.09720802,67.21598053,-3.259589195,59.68217468,5.552965164
5.5,,96.53343964,-25.38531303,84.55775452,-18.76694489,78.80422211,-9.447570801,73.01238251,1.250791311,65.15036774,9.804422379
6,6,101.973381,-20.651577,90.38770294,-13.97554588,84.65766144,-4.701320648,78.70689392,5.901691914,70.53257751,14.24665546
6.5,,107.3388596,-16.01137733,96.09983826,-9.187168121,90.43371582,0.090338066,84.37200165,10.64561272,75.88863373,18.83852005
7,7,112.704361,-11.50484371,101.7784576,-4.449299812,96.21356201,4.878333569,90.08604431,15.43606567,81.28834534,23.5398941
7.5,,118.1333923,-7.172593594,107.501152,0.191217527,102.078331,9.613489151,95.93489838,20.22550964,86.81435394,28.31016159
8,8,123.6805573,-3.056923151,113.3402405,4.686192036,108.1101151,14.24426842,102.0141983,24.96293259,92.56674194,33.10614395
