x,AM0,AM0C,AM15,AM15C,
150.5,0.000087,0.000087,0,0,\\
151.5,0.0000927,0.0001797,0,0,\\
152.5,0.0001163,0.000296,0,0,\\
153.5,0.0001299,0.0004259,0,0,\\
154.5,0.0002059,0.0006318,0,0,\\
155.5,0.0002144,0.0008462,0,0,\\
156.5,0.0001847,0.0010309,0,0,\\
157.5,0.0001717,0.0012026,0,0,\\
158.5,0.0001675,0.0013701,0,0,\\
159.5,0.0001754,0.0015455,0,0,\\
160.5,0.0001934,0.0017389,0,0,\\
161.5,0.0002228,0.0019617,0,0,\\
162.5,0.0002519,0.0022136,0,0,\\
163.5,0.0002841,0.0024977,0,0,\\
164.5,0.0002973,0.002795,0,0,\\
165.5,0.0004302,0.0032252,0,0,\\
166.5,0.0003989,0.0036241,0,0,\\
167.5,0.0003875,0.0040116,0,0,\\
168.5,0.0004556,0.0044672,0,0,\\
169.5,0.0005877,0.0050549,0,0,\\
170.5,0.0006616,0.0057165,0,0,\\
171.5,0.000688,0.0064045,0,0,\\
172.5,0.0007252,0.0071297,0,0,\\
173.5,0.0007645,0.0078942,0,0,\\
174.5,0.0009067,0.0088009,0,0,\\
175.5,0.001079,0.0098799,0,0,\\
176.5,0.00122,0.0110999,0,0,\\
177.5,0.001403,0.0125029,0,0,\\
178.5,0.001538,0.0140409,0,0,\\
179.5,0.001576,0.0156169,0,0,\\
180.5,0.001831,0.0174479,0,0,\\
181.5,0.002233,0.0196809,0,0,\\
182.5,0.002243,0.0219239,0,0,\\
183.5,0.002244,0.0241679,0,0,\\
184.5,0.002066,0.0262339,0,0,\\
185.5,0.002311,0.0285449,0,0,\\
186.5,0.0027,0.0312449,0,0,\\
187.5,0.003009,0.0342539,0,0,\\
188.5,0.003291,0.0375449,0,0,\\
189.5,0.003569,0.0411139,0,0,\\
190.5,0.003764,0.0448779,0,0,\\
191.5,0.004165,0.0490429,0,0,\\
192.5,0.004113,0.0531559,0,0,\\
193.5,0.003808,0.0569639,0,0,\\
194.5,0.00521,0.0621739,0,0,\\
195.5,0.005427,0.0676009,0,0,\\
196.5,0.006008,0.0736089,0,0,\\
197.5,0.006191,0.0797999,0,0,\\
198.5,0.006187,0.0859869,0,0,\\
199.5,0.006664,0.0926509,0,0,\\
200.5,0.007326,0.0999769,0,0,\\
201.5,0.008023,0.1079999,0,0,\\
202.5,0.008261,0.1162609,0,0,\\
203.5,0.009217,0.1254779,0,0,\\
204.5,0.01025,0.1357279,0,0,\\
205.5,0.01054,0.1462679,0,0,\\
206.5,0.01108,0.1573479,0,0,\\
207.5,0.01265,0.1699979,0,0,\\
208.5,0.01505,0.1850479,0,0,\\
209.5,0.02138,0.2064279,0,0,\\
210.5,0.02792,0.2343479,0,0,\\
